SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI,Diff
950480,809PFC21    ,F ,D,100000.0,106000.0,100000.0,106000.0,106000.0,101000.0,2,20,2060000.0,,-6000.0
958409,956SBIPERP  ,F ,D,1024444.0,1028700.0,1024444.0,1028700.0,1028700.0,1027500.0,2,3,3077588.0,,-4256.0
956281,885HDFC99   ,F ,D,1056334.79,1060000.0,1056334.79,1060000.0,1060000.0,1054544.0,2,2,2116334.0,,-3665.2099999999627
958180,1032APCRD28 ,F ,D,202550.0,206000.0,202550.0,206000.0,206000.0,205853.6,3,15,3072300.0,,-3450.0
958457,937SBIPER   ,F ,D,1006777.0,1015090.0,1006777.0,1010102.2,1015090.0,1007013.22,5,7,7064065.0,,-3325.1999999999534
