SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI,Diff
953244,12NMSPL20   ,F ,D,1440000.0,1440000.0,1200000.0,1200000.0,1200000.0,1200000.0,2,3,4080000.0,,240000.0
956281,885HDFC99   ,F ,D,1125000.0,1125000.0,1048000.0,1054200.0,1054200.0,1048052.96,3,3,3227200.0,,70800.0
951695,PNB13FEB15  ,F ,D,950000.0,950000.0,940000.0,940000.0,940000.0,964000.0,5,7,6590000.0,,10000.0
958409,956SBIPERP  ,F ,D,1025700.0,1025700.0,1020535.0,1020535.0,1020535.0,1016247.0,8,14,14294342.0,,5165.0
956281,885HDFC99   ,F ,D,1053800.0,1053800.0,1049600.0,1049600.0,1049600.0,1054200.0,4,5,5252202.0,,4200.0
