SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,Unnamed: 13,Diff
PEL,D1,104000.0,107000.0,104000.0,107000.0,107000.0,103500.0,2,211000.0,11-MAR-2019,2,INE140A08SX5,,-3000.0
EICHERMOT,EQ,21948.55,23145.2,21895.0,22972.45,22944.0,21871.05,248559,5610353435.3,11-MAR-2019,65083,INE066A01013,,-1023.9000000000015
PAGEIND,EQ,23123.0,23899.0,23085.15,23833.25,23855.0,23003.4,41150,972993815.65,11-MAR-2019,14904,INE761H01022,,-710.25
MRF,EQ,57040.0,57980.15,57040.0,57708.3,57725.0,57026.6,5144,296815013.3,11-MAR-2019,3134,INE883A01011,,-668.3000000000029
BOSCHLTD,EQ,18500.0,19170.0,18489.0,19100.3,19050.0,18429.85,18632,353223442.65,11-MAR-2019,7119,INE323A01026,,-600.2999999999993
