SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,Unnamed: 13,Diff
3MINDIA,EQ,24874.0,25100.0,24412.0,24540.4,24700.0,24848.15,6115,151454453.05,11-MAR-2019,3166,INE470A01017,,333.59999999999854
IVZINGOLD,EQ,3099.0,3116.0,2897.1,2897.1,2897.1,3116.0,7,21553.1,11-MAR-2019,6,INF205K01361,,201.9000000000001
HONAUT,EQ,22150.0,22200.0,21924.75,22000.05,21980.0,21998.8,1345,29596310.75,11-MAR-2019,523,INE671A01010,,149.95000000000073
PGHH,EQ,10319.95,10347.0,10150.0,10187.6,10171.0,10320.3,5824,59627235.85,11-MAR-2019,2145,INE179A01014,,132.35000000000036
WABCOINDIA,EQ,6399.0,6399.0,6270.0,6302.0,6300.2,6302.25,6678,42091110.75,11-MAR-2019,1068,INE342J01019,,97.0
