SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,Unnamed: 13,Diff
NIFTYEES,EQ,12300.1,14199.0,12300.1,13749.99,13749.99,13500.0,18,243859.1,13-MAR-2019,13,INF754K01EK3,,-1449.8899999999994
EICHERMOT,EQ,22488.8,22898.0,22462.0,22777.25,22800.0,22461.95,146168,3321120414.45,13-MAR-2019,36796,INE066A01013,,-288.4500000000007
NESTLEIND,EQ,10528.0,10754.95,10500.4,10723.3,10698.0,10428.9,133760,1429030676.25,13-MAR-2019,29707,INE239A01016,,-195.29999999999927
IBULHSGFIN,N1,833.0,1010.0,833.0,1004.0,1004.0,1010.0,85,79816.0,13-MAR-2019,10,INE148I07FY8,,-171.0
SCHAEFFLER,EQ,5455.25,5725.0,5420.25,5597.05,5700.0,5411.15,4334,24174135.9,13-MAR-2019,1079,INE513A01014,,-141.80000000000018
