SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI,Diff
517174,HONEYWELL   ,A ,Q,22799.95,22799.95,21949.9,21998.35,22000.0,21977.0,63,241,5301664.0,,801.6000000000022
500459,PROCTER &GAM,A ,Q,10910.0,10910.0,10136.5,10239.2,10237.15,10339.55,217,379,3883241.0,,670.7999999999993
523395,3M INDIA LTD,A ,Q,24990.0,25050.0,24459.6,24624.2,24500.05,24818.85,148,462,11504727.0,,365.7999999999993
507649,RASOI LTD.  ,X ,Q,31501.0,31501.0,30900.0,31240.35,31215.0,30699.15,34,150,4697933.0,,260.65000000000146
533033,ISGEC       ,B ,Q,5390.0,5500.0,5175.0,5207.5,5500.0,5358.85,434,45301,235990702.0,,182.5
