SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,Unnamed: 13,Diff
PEL,D1,95000.0,103000.0,95000.0,103000.0,103000.0,98000.0,6,597000.0,06-MAR-2019,4,INE140A08SX5,,-8000.0
PEL,D1,104000.0,107000.0,104000.0,107000.0,107000.0,103500.0,2,211000.0,11-MAR-2019,2,INE140A08SX5,,-3000.0
EICHERMOT,EQ,19500.0,21877.0,19320.0,21505.4,21510.0,19948.65,452363,9402255051.65,05-MAR-2019,111035,INE066A01013,,-2005.4000000000015
PEL,D1,90000.0,92000.0,87840.0,92000.0,92000.0,92000.0,5184,455526321.0,21-JAN-2019,18,INE140A08SX5,,-2000.0
PEL,D1,87000.0,89000.0,87000.0,89000.0,89000.0,85000.0,2,176000.0,13-FEB-2019,2,INE140A08SX5,,-2000.0
