SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,Unnamed: 13,Diff
MRF,EQ,59188.95,59188.95,56300.0,56451.35,56450.0,59410.55,24277,1388780650.25,08-FEB-2019,15008,INE883A01011,,2737.5999999999985
PAGEIND,EQ,24700.0,24700.0,21700.0,21971.1,21830.0,23990.0,143444,3216737807.85,15-FEB-2019,47186,INE761H01022,,2728.9000000000015
MRF,EQ,61944.0,61944.0,59800.0,59906.55,59840.0,61275.7,7858,472700089.35,04-FEB-2019,4807,INE883A01011,,2037.449999999997
MRF,EQ,65300.0,65533.3,63700.0,63920.95,63899.9,64902.75,3105,200734063.8,25-JAN-2019,2172,INE883A01011,,1379.050000000003
MRF,EQ,63875.0,63875.0,62450.0,62559.95,62770.9,63920.95,4488,282233587.7,28-JAN-2019,2604,INE883A01011,,1315.050000000003
