SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI,Diff
505200,EICHER MOTOR,A ,Q,21999.95,22990.0,21999.95,22892.75,22892.75,21865.25,2927,7703,174198168.0,,-892.7999999999993
532827,PAGE INDUSTR,A ,Q,22902.0,23850.5,22902.0,23774.05,23774.05,23005.45,699,1521,35959754.0,,-872.0499999999993
500290,MRF LTD.    ,A ,Q,56971.45,57905.65,56971.45,57712.6,57712.6,57141.6,201,2898,166835216.0,,-741.1500000000015
500530,BOSCH LTD   ,A ,Q,18502.0,19144.9,18473.7,19065.9,19065.9,18444.15,501,1948,36991859.0,,-563.9000000000015
935014,0MFL20K     ,F ,D,1604.4,2108.0,1604.4,2108.0,2108.0,1764.0,2,960,1781952.0,,-503.5999999999999
