SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI,Diff
972536,NABARD31039 ,F ,B,18000.0,19950.0,18000.0,19950.0,19950.0,19600.0,10,1740,33016500.0,,-1950.0
505200,EICHER MOTOR,A ,Q,22450.1,22873.15,22450.1,22789.05,22789.05,22482.95,1228,2975,67618059.0,,-338.9500000000007
507300,RAVALGAON   ,XT,Q,2348.5,2595.6,2348.5,2595.6,2595.6,2472.0,4,8,19529.0,,-247.0999999999999
540145,VALIANTORG  ,M ,Q,1340.0,1589.5,1340.0,1550.1,1530.0,1350.0,94,15000,22943205.0,,-210.0999999999999
935463,1075SREI20  ,F ,D,867.0,1049.0,867.0,1045.63,1040.01,1035.0,4,90,85175.0,,-178.6300000000001
